timestamp,latitude,longitude,heartRate,accelX,accelY,accelZ,gyroX,gyroY,gyroZ,magnetoX,magnetoY,magnetoZ
1706815818792,0.0,0.0,65.0,8.099585,-2.6048915,4.8482585,-46.02,-4.7999997,5.1,-0.007330383,0.004886922,0.0
1706815819910,0.0,0.0,65.0,8.183381,-2.4995465,4.8458643,-45.539997,-5.04,6.66,-0.014660766,0.013439035,0.008552114
1706815821030,0.0,0.0,66.0,8.169016,-2.3654714,4.759673,-46.079998,-3.78,5.16,0.004886922,0.008552114,0.0036651916
1706815822150,0.0,0.0,65.0,8.183381,-2.5450363,4.8745947,-44.94,-3.6599998,6.0,-0.002443461,0.002443461,0.0
1706815823270,0.0,0.0,65.0,8.202535,-2.4133554,5.00867,-45.96,-4.3199997,5.52,-0.004886922,0.009773844,0.0061086523
1706815824385,0.0,0.0,66.0,8.121132,-2.9257145,5.0421886,-44.7,-4.14,5.58,-0.002443461,0.014660766,0.0061086523
1706815825510,0.0,0.0,66.0,8.422802,-1.9967642,4.7620673,-46.92,-6.6,5.4,0.15149458,-0.08552113,-0.0061086523
1706815826630,0.0,0.0,65.0,8.925584,-4.003105,0.9696517,-46.44,-11.34,9.9,-0.5815437,-0.042760566,0.12095132
1706815827750,0.0,0.0,65.0,9.004593,-4.0821137,0.5363012,-45.48,-15.36,11.28,0.010995574,-0.013439035,0.009773844
1706815828868,0.0,0.0,65.0,8.935161,-4.086902,0.58897364,-44.82,-15.36,12.599999,-0.0012217305,0.017104227,-0.002443461
1706815829990,0.0,0.0,64.0,8.856153,-4.0342298,0.5650316,-45.3,-15.24,11.46,-0.013439035,-0.0036651916,0.008552114
1706815831110,0.0,0.0,64.0,8.798691,-4.283227,0.6919243,-45.42,-14.16,11.099999,0.009773844,0.0012217305,-0.0036651916
1706815832230,0.0,0.0,64.0,8.808268,-4.285621,0.7134721,-46.02,-14.7,10.38,-0.0036651916,0.002443461,0.0012217305
1706815833347,0.0,0.0,64.0,8.765172,-4.2281604,0.7757214,-46.44,-14.34,10.32,-0.002443461,0.002443461,-0.0012217305
1706815834470,0.0,0.0,64.0,8.746018,-4.321534,0.7254431,-45.3,-14.94,11.16,0.012217305,0.0061086523,0.008552114
1706815835505,0.0,0.0,64.0,8.803479,-4.2880154,0.7589619,-46.5,-14.7,10.92,0.008552114,-0.010995574,-0.0012217305
1706815836548,0.0,0.0,65.0,8.801085,-4.4196963,0.8643068,-45.0,-14.639999,11.46,-0.007330383,0.0036651916,0.002443461
1706815837670,0.0,0.0,64.0,8.822633,-4.3742065,0.85473,-45.18,-13.98,11.82,-0.013439035,0.0036651916,0.0061086523
1706815838789,0.0,0.0,64.0,8.798691,-4.357447,0.9576807,-45.96,-13.74,11.5199995,0.0012217305,0.0061086523,0.0012217305
1706815839908,0.0,0.0,64.0,8.817844,-4.331111,0.92655605,-45.48,-12.84,11.16,0.007330383,0.0,-0.002443461
1706815841032,0.0,0.0,64.0,8.710106,-4.259285,0.9576807,-44.7,-13.5,13.44,0.0,-0.0036651916,0.002443461
1706815842150,0.0,0.0,63.0,8.6813755,-4.2640734,0.8858546,-44.879997,-13.38,10.92,0.0012217305,0.002443461,0.0012217305
1706815843271,0.0,0.0,63.0,8.734048,-4.450821,0.90261406,-45.12,-13.08,12.3,0.009773844,0.004886922,0.0012217305
1706815844390,0.0,0.0,62.0,8.7292595,-4.3478703,0.92655605,-44.94,-13.0199995,12.059999,0.0061086523,0.0,0.0
1706815845511,0.0,0.0,62.0,8.781932,-4.4220905,0.91458505,-45.059998,-15.059999,13.38,0.0036651916,-0.0012217305,0.0
1706815846631,0.0,0.0,61.0,8.793902,-4.4843397,0.8834604,-44.82,-12.78,11.82,-0.004886922,0.004886922,0.002443461
1706815847751,0.0,0.0,61.0,8.655039,-4.417302,0.8690952,-45.36,-12.96,11.7,0.004886922,0.0,0.0012217305
1706815848872,0.0,0.0,61.0,8.652645,-4.3646297,0.9816227,-46.2,-13.74,10.74,-0.007330383,-0.0012217305,0.008552114
1706815849991,0.0,0.0,61.0,8.688558,-4.4005427,0.9983821,-45.0,-12.78,11.88,-0.0061086523,0.0061086523,0.0061086523
1706815851111,0.0,0.0,62.0,8.686164,-4.4436383,0.90261406,-45.84,-13.32,10.679999,-0.002443461,0.0,0.002443461
1706815852230,0.0,0.0,62.0,8.693346,-4.426879,0.93373865,-45.059998,-13.5,10.679999,0.0012217305,-0.002443461,0.0012217305
1706815853351,0.0,0.0,62.0,8.714894,-4.417302,0.8858546,-45.539997,-13.0199995,11.16,-0.0036651916,-0.0036651916,0.008552114
1706815854467,0.0,0.0,62.0,8.78672,-4.307169,0.94331545,-45.84,-12.96,11.759999,0.02687807,-0.002443461,-0.010995574
1706815855515,0.0,0.0,62.0,8.432379,-3.2225955,4.003105,-45.66,-9.42,11.46,0.11484267,0.043982297,-0.057421334
1706815856710,0.0,0.0,61.0,8.248025,-3.2944214,4.232949,-47.579998,-6.42,8.94,-0.04153884,0.05497787,0.036651913
1706815857829,0.0,0.0,60.0,8.485051,-3.1890767,3.952827,-46.44,-7.74,9.9,-0.062308256,-0.0036651916,0.0036651916
1706815858952,0.0,0.0,59.0,8.293514,-3.289633,4.1180267,-45.6,-5.8799996,9.36,-0.02687807,0.009773844,-0.032986723
1706815860069,0.0,0.0,60.0,8.255207,-3.5122938,4.0414124,-46.98,-7.56,9.719999,-0.052534413,0.017104227,-0.0012217305
1706815861188,0.0,0.0,61.0,8.085219,-2.4037786,4.747702,-46.2,-6.2999997,6.8399997,0.021991149,0.013439035,0.0036651916
1706815862308,0.0,0.0,61.0,8.118738,-2.1092918,4.855441,-45.539997,-6.24,6.06,-0.18692477,-0.010995574,-0.09162979
1706815863429,0.0,0.0,62.0,8.046912,-2.5809495,5.0278234,-47.219997,-6.8999996,5.16,0.010995574,0.0,0.015882496
1706815864512,0.0,0.0,60.0,8.118738,-2.8514943,4.793192,-46.26,-6.72,5.16,0.021991149,-0.035430185,0.017104227
1706815865668,0.0,0.0,59.0,8.149862,-2.801216,4.876989,-46.44,-5.58,5.22,-0.0061086523,0.007330383,-0.017104227
1706815866789,0.0,0.0,59.0,7.4148426,-3.0478187,5.379771,-45.539997,-5.7,4.92,-0.06352998,0.042760566,0.22602014
1706815867909,0.0,0.0,59.0,4.88896,-0.2633622,8.561666,-38.64,3.54,-12.059999,-0.02443461,0.0012217305,0.032986723
1706815869029,0.0,0.0,58.0,6.0381765,-0.61052144,7.1490865,-37.5,4.62,-13.5,-0.23945917,-0.3885103,-0.03176499
1706815870150,0.0,0.0,59.0,5.3199162,-3.4859576,8.0924015,-39.059998,8.82,-9.059999,0.16737708,0.22724187,0.59620446
1706815871271,0.0,0.0,59.0,7.36217,-5.9424086,2.4875755,-36.899998,12.36,17.699999,0.037873644,-0.04886922,-0.14538592
1706815872391,0.0,0.0,61.0,7.3310456,-6.133945,2.4540567,-39.66,9.3,18.48,-0.07819075,-0.04153884,-0.017104227
1706815873509,0.0,0.0,61.0,7.6494746,-5.8921304,2.171541,-40.14,7.2599998,18.9,-0.14782938,0.008552114,0.013439035
1706815874631,0.0,0.0,65.0,7.845799,-5.463568,2.0949266,-40.379997,6.42,20.52,0.014660766,-0.057421334,-0.05375614
1706815875748,0.0,0.0,65.0,7.338228,-4.2999864,5.221754,-39.96,6.66,20.88,1.0922271,0.44837508,-0.07086037
1706815876872,0.0,0.0,67.0,6.0477533,-5.5042696,5.997475,-41.1,10.26,4.02,-0.1441642,0.12950343,0.39950588
1706815877989,0.0,0.0,70.0,4.6902413,-5.722142,6.435614,-29.88,21.9,1.74,0.12950343,-0.036651913,-0.23701571
